,Price,Area,Location,No. of Bedrooms,Lift Available,Car Parking
197,27799999,1274,Andheri West,3,1,0
198,22000000,985,Andheri West,3,1,0
199,16000000,650,Andheri West,1,1,0
200,19500000,1000,Andheri West,2,1,0
201,15000000,650,Andheri West,1,0,0
202,15000000,650,Andheri West,1,0,0
203,30000000,1195,Andheri West,2,1,0
204,46500000,1250,Andheri West,3,1,1
205,33500000,912,Andheri West,2,1,0
206,24000000,660,Andheri West,2,0,0
207,22500000,1050,Andheri West,2,1,0
208,50000000,2300,Andheri West,3,1,1
209,40000000,1295,Andheri West,3,0,0
210,26000000,1200,Andheri West,3,1,0
211,22500000,1040,Andheri West,2,0,0
212,23000000,950,Andheri West,2,1,0
213,23500000,1100,Andheri West,2,0,0
214,22500000,768,Andheri West,2,0,0
215,22500000,768,Andheri West,2,1,0
216,22000000,1200,Andheri West,3,1,1
217,2865000,675,Badlapur East,1,1,1
218,2600000,500,Badlapur East,1,1,1
219,2565000,675,Badlapur East,1,1,1
220,3797999,910,Badlapur East,2,1,0
221,3300000,920,Badlapur East,2,1,1
222,2600000,660,Badlapur East,1,1,1
223,2650000,660,Badlapur East,1,1,1
224,3750000,1050,Badlapur East,2,1,0
225,2815000,710,Badlapur East,1,1,0
226,3615000,1040,Badlapur East,2,1,0
227,3700000,1025,Badlapur East,2,0,0
228,3700000,1025,Badlapur East,2,1,0
229,2750000,730,Badlapur East,1,1,0
230,2250000,610,Badlapur East,1,1,0
231,2250000,655,Badlapur East,1,1,0
232,3100000,920,Badlapur East,2,1,0
233,2399000,700,Badlapur East,1,1,1
234,2190000,655,Badlapur East,1,1,0
235,3200000,820,Badlapur East,2,1,0
236,3100000,920,Badlapur East,2,1,1
237,2600000,510,Badlapur East,1,1,1
238,3565999,703,Badlapur East,2,1,1
239,4267000,841,Badlapur East,2,1,1
240,4427000,873,Badlapur East,2,1,1
241,3872000,762,Badlapur East,2,1,1
242,3125000,615,Badlapur East,1,1,1
243,2725000,535,Badlapur East,1,1,1
244,3811999,750,Badlapur East,2,1,1
245,4052000,798,Badlapur East,2,1,1
246,2950000,580,Badlapur East,1,1,1
247,2575000,505,Badlapur East,1,1,1
248,2750000,700,Badlapur East,1,1,1
249,11000000,440,Bandra East,1,0,1
250,42500000,1305,Bandra East,2,1,1
251,60000000,1750,Bandra East,3,1,1
252,68000000,1500,Bandra East,2,1,0
253,35000000,1150,Bandra East,2,1,0
254,30400000,1100,Bandra East,2,1,0
255,80000000,1980,Bandra East,3,1,0
256,58500000,1700,Bandra East,3,1,0
257,115000000,3000,Bandra East,4,1,0
258,31200000,838,Bandra East,2,1,0
259,55000000,2000,Bandra East,3,1,0
260,30000000,850,Bandra West,2,0,1
261,120000000,2893,Bandra West,4,1,1
262,72500000,1750,Bandra West,3,1,1
263,35000000,1000,Bandra West,2,1,1
264,70000000,1800,Bandra West,3,1,0
265,25700000,750,Bandra West,2,0,0
266,25700000,750,Bandra West,2,1,0
267,20000000,550,Bandra West,1,1,0
268,70000000,1824,Bandra West,3,0,0
269,70000000,1824,Bandra West,3,1,0
270,60000000,1118,Bandra West,3,1,0
271,60000000,1200,Bandra West,2,1,0
272,94900000,2255,Bandra West,3,1,1
273,52400000,1182,Bandra West,2,1,1
274,22000000,550,Bandra West,1,1,0
275,120000000,2150,Bandra West,4,1,1
